Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
PG,Luka Doncic (32206478),Luka Doncic,32206478,PG/G/UTIL,11600,MIN@DAL 01/07/2024 07:30PM ET,DAL,63.31
C,Nikola Jokic (32206481),Nikola Jokic,32206481,C/UTIL,11200,DET@DEN 01/07/2024 08:00PM ET,DEN,60.06
C,Domantas Sabonis (32206483),Domantas Sabonis,32206483,C/UTIL,10000,NOP@SAC 01/07/2024 06:00PM ET,SAC,50.70
PG,Trae Young (32206485),Trae Young,32206485,PG/G/UTIL,9900,ATL@ORL 01/07/2024 06:00PM ET,ATL,52.01
PF,Kevin Durant (32206488),Kevin Durant,32206488,PF/F/UTIL,9800,MEM@PHX 01/07/2024 08:00PM ET,PHX,50.62
PG,Ja Morant (32206491),Ja Morant,32206491,PG/G/UTIL,9600,MEM@PHX 01/07/2024 08:00PM ET,MEM,46.67
PG,De'Aaron Fox (32206494),De'Aaron Fox,32206494,PG/G/UTIL,9400,NOP@SAC 01/07/2024 06:00PM ET,SAC,48.53
PG/SG,Stephen Curry (32206497),Stephen Curry,32206497,PG/SG/G/UTIL,9200,TOR@GSW 01/07/2024 08:30PM ET,GSW,43.45
PG/SG,Devin Booker (32206501),Devin Booker,32206501,PG/SG/G/UTIL,9100,MEM@PHX 01/07/2024 08:00PM ET,PHX,47.32
PF,Paolo Banchero (32206505),Paolo Banchero,32206505,PF/F/UTIL,9000,ATL@ORL 01/07/2024 06:00PM ET,ORL,41.7
PG/SG,Kyrie Irving (32206508),Kyrie Irving,32206508,PG/SG/G/UTIL,8900,MIN@DAL 01/07/2024 07:30PM ET,DAL,40.42
PG/SG,Anthony Edwards (32206512),Anthony Edwards,32206512,PG/SG/G/UTIL,8800,MIN@DAL 01/07/2024 07:30PM ET,MIN,44.40
PG/SF,Scottie Barnes (32206516),Scottie Barnes,32206516,PG/SF/F/G/UTIL,8700,TOR@GSW 01/07/2024 08:30PM ET,TOR,47.28
SG/SF,Brandon Ingram (32206521),Brandon Ingram,32206521,SG/SF/F/G/UTIL,8500,NOP@SAC 01/07/2024 06:00PM ET,NOP,38.49
PG,Cade Cunningham (32206526),Cade Cunningham,32206526,PG/G/UTIL,8400,DET@DEN 01/07/2024 08:00PM ET,DET,41.55
SG/SF,Desmond Bane (32206529),Desmond Bane,32206529,SG/SF/F/G/UTIL,8200,MEM@PHX 01/07/2024 08:00PM ET,MEM,41.96
PF/C,Pascal Siakam (32206534),Pascal Siakam,32206534,PF/C/F/UTIL,8100,TOR@GSW 01/07/2024 08:30PM ET,TOR,39.66
PG,Jamal Murray (32206538),Jamal Murray,32206538,PG/G/UTIL,8000,DET@DEN 01/07/2024 08:00PM ET,DEN,38.06
PF,Zion Williamson (32206541),Zion Williamson,32206541,PF/F/UTIL,7900,NOP@SAC 01/07/2024 06:00PM ET,NOP,37.74
SF,Franz Wagner (32206544),Franz Wagner,32206544,SF/F/UTIL,7800,ATL@ORL 01/07/2024 06:00PM ET,ORL,36.76
PG,CJ McCollum (32206547),CJ McCollum,32206547,PG/G/UTIL,7700,NOP@SAC 01/07/2024 06:00PM ET,NOP,37.29
PG/SG,Dejounte Murray (32206550),Dejounte Murray,32206550,PG/SG/G/UTIL,7600,ATL@ORL 01/07/2024 06:00PM ET,ATL,37.93
PF/C,Jaren Jackson Jr. (32206554),Jaren Jackson Jr.,32206554,PF/C/F/UTIL,7500,MEM@PHX 01/07/2024 08:00PM ET,MEM,35.71
PF/C,Karl-Anthony Towns (32206558),Karl-Anthony Towns,32206558,PF/C/F/UTIL,7400,MIN@DAL 01/07/2024 07:30PM ET,MIN,39.86
PG/SG,Bradley Beal (32206562),Bradley Beal,32206562,PG/SG/G/UTIL,7300,MEM@PHX 01/07/2024 08:00PM ET,PHX,29.07
PF,Jalen Johnson (32206566),Jalen Johnson,32206566,PF/F/UTIL,7200,ATL@ORL 01/07/2024 06:00PM ET,ATL,33.11
SF/PF,Michael Porter Jr. (32206569),Michael Porter Jr.,32206569,SF/PF/F/UTIL,7100,DET@DEN 01/07/2024 08:00PM ET,DEN,31.21
C,Rudy Gobert (32206573),Rudy Gobert,32206573,C/UTIL,7000,MIN@DAL 01/07/2024 07:30PM ET,MIN,35.07
C,Jalen Duren (32206577),Jalen Duren,32206577,C/UTIL,6900,DET@DEN 01/07/2024 08:00PM ET,DET,34.81
C,Jusuf Nurkic (32206575),Jusuf Nurkic,32206575,C/UTIL,6900,MEM@PHX 01/07/2024 08:00PM ET,PHX,34.49
C,Jonas Valanciunas (32206579),Jonas Valanciunas,32206579,C/UTIL,6800,NOP@SAC 01/07/2024 06:00PM ET,NOP,33.49
PG/SG,Immanuel Quickley (32206581),Immanuel Quickley,32206581,PG/SG/G/UTIL,6800,TOR@GSW 01/07/2024 08:30PM ET,TOR,24.93
PG/SG,Jalen Suggs (32206585),Jalen Suggs,32206585,PG/SG/G/UTIL,6700,ATL@ORL 01/07/2024 06:00PM ET,ORL,25.65
PG/SG,Malik Monk (32206589),Malik Monk,32206589,PG/SG/G/UTIL,6600,NOP@SAC 01/07/2024 06:00PM ET,SAC,28.90
SF,Bojan Bogdanovic (32206593),Bojan Bogdanovic,32206593,SF/F/UTIL,6500,DET@DEN 01/07/2024 08:00PM ET,DET,31.39
PG/SG,Cole Anthony (32206601),Cole Anthony,32206601,PG/SG/G/UTIL,6500,ATL@ORL 01/07/2024 06:00PM ET,ORL,27.35
SG/SF,Klay Thompson (32206596),Klay Thompson,32206596,SG/SF/F/G/UTIL,6500,TOR@GSW 01/07/2024 08:30PM ET,GSW,27.68
PF,Aaron Gordon (32206615),Aaron Gordon,32206615,PF/F/UTIL,6400,DET@DEN 01/07/2024 08:00PM ET,DEN,30.40
PF,Keegan Murray (32206605),Keegan Murray,32206605,PF/F/UTIL,6400,NOP@SAC 01/07/2024 06:00PM ET,SAC,29.34
SG/SF,Tim Hardaway Jr. (32206608),Tim Hardaway Jr.,32206608,SG/SF/F/G/UTIL,6400,MIN@DAL 01/07/2024 07:30PM ET,DAL,26.52
C,Clint Capela (32206613),Clint Capela,32206613,C/UTIL,6400,ATL@ORL 01/07/2024 06:00PM ET,ATL,31.82
C,Jakob Poeltl (32206618),Jakob Poeltl,32206618,C/UTIL,6300,TOR@GSW 01/07/2024 08:30PM ET,TOR,28.36
PG/SG,Brandin Podziemski (32206620),Brandin Podziemski,32206620,PG/SG/G/UTIL,6300,TOR@GSW 01/07/2024 08:30PM ET,GSW,23.27
SG/SF,Bogdan Bogdanovic (32206632),Bogdan Bogdanovic,32206632,SG/SF/F/G/UTIL,6200,ATL@ORL 01/07/2024 06:00PM ET,ATL,29.98
PG,Chris Paul (32206624),Chris Paul,32206624,PG/G/UTIL,6200,TOR@GSW 01/07/2024 08:30PM ET,GSW,27.15
SG/SF,RJ Barrett (32206627),RJ Barrett,32206627,SG/SF/F/G/UTIL,6200,TOR@GSW 01/07/2024 08:30PM ET,TOR,28.65
PG/SG,Dennis Schroder (32206637),Dennis Schroder,32206637,PG/SG/G/UTIL,6100,TOR@GSW 01/07/2024 08:30PM ET,TOR,30.84
PG/SF,Dante Exum (32206641),Dante Exum,32206641,PG/SF/F/G/UTIL,6000,MIN@DAL 01/07/2024 07:30PM ET,DAL,18.82
PG/SG,Marcus Smart (32206646),Marcus Smart,32206646,PG/SG/G/UTIL,6000,MEM@PHX 01/07/2024 08:00PM ET,MEM,26.74
SG/SF,Grayson Allen (32206650),Grayson Allen,32206650,SG/SF/F/G/UTIL,6000,MEM@PHX 01/07/2024 08:00PM ET,PHX,27.01
PF,Jonathan Kuminga (32206655),Jonathan Kuminga,32206655,PF/F/UTIL,5900,TOR@GSW 01/07/2024 08:30PM ET,GSW,21.43
PF/C,Draymond Green (32206658),Draymond Green,32206658,PF/C/F/UTIL,5800,TOR@GSW 01/07/2024 08:30PM ET,GSW,27.15
PF,Saddiq Bey (32206664),Saddiq Bey,32206664,PF/F/UTIL,5700,ATL@ORL 01/07/2024 06:00PM ET,ATL,25.98
C,Dereck Lively II (32206662),Dereck Lively II,32206662,C/UTIL,5600,MIN@DAL 01/07/2024 07:30PM ET,DAL,24
PF/C,Moritz Wagner (32206667),Moritz Wagner,32206667,PF/C/F/UTIL,5600,ATL@ORL 01/07/2024 06:00PM ET,ORL,19.98
PG/SG,Jaden Ivey (32206675),Jaden Ivey,32206675,PG/SG/G/UTIL,5500,DET@DEN 01/07/2024 08:00PM ET,DET,24.07
SF/PF,Herbert Jones (32206679),Herbert Jones,32206679,SF/PF/F/UTIL,5500,NOP@SAC 01/07/2024 06:00PM ET,NOP,23.80
SF/PF,Derrick Jones Jr. (32206671),Derrick Jones Jr.,32206671,SF/PF/F/UTIL,5500,MIN@DAL 01/07/2024 07:30PM ET,DAL,20.21
C,Goga Bitadze (32206683),Goga Bitadze,32206683,C/UTIL,5500,ATL@ORL 01/07/2024 06:00PM ET,ORL,21.88
SG/SF,Trey Murphy III (32206689),Trey Murphy III,32206689,SG/SF/F/G/UTIL,5400,NOP@SAC 01/07/2024 06:00PM ET,NOP,24.23
PG,Mike Conley (32206694),Mike Conley,32206694,PG/G/UTIL,5400,MIN@DAL 01/07/2024 07:30PM ET,MIN,26.96
SF/PF,De'Andre Hunter (32206685),De'Andre Hunter,32206685,SF/PF/F/UTIL,5400,ATL@ORL 01/07/2024 06:00PM ET,ATL,24.75
C,Wendell Carter Jr. (32206699),Wendell Carter Jr.,32206699,C/UTIL,5400,ATL@ORL 01/07/2024 06:00PM ET,ORL,20.52
C,Trayce Jackson-Davis (32206697),Trayce Jackson-Davis,32206697,C/UTIL,5400,TOR@GSW 01/07/2024 08:30PM ET,GSW,14.98
PF/C,Isaiah Stewart (32206705),Isaiah Stewart,32206705,PF/C/F/UTIL,5300,DET@DEN 01/07/2024 08:00PM ET,DET,23.70
PG/SG,Jaden Hardy (32206701),Jaden Hardy,32206701,PG/SG/G/UTIL,5300,MIN@DAL 01/07/2024 07:30PM ET,DAL,14.48
SG,Eric Gordon (32206709),Eric Gordon,32206709,SG/G/UTIL,5200,MEM@PHX 01/07/2024 08:00PM ET,PHX,23.59
